"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"11622464"	"34.85"	"110.94"	"1.25"	"7.90"	"34.20"	"22.30"	"0.20"	"30.00"	"21.00"	"3.00"	"6.00"
"11622477"	"35.61"	"115.73"	"1.38"	"7.90"	"31.90"	"21.20"	"0.21"	"29.50"	"18.20"	"3.00"	"5.50"
"11623130"	"29.89"	"121.58"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11623147"	"26.97"	"108.46"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11623170"	"30.64"	"100.20"	"1.25"	"7.90"	"34.40"	"22.70"	"0.22"	"30.00"	"8.00"	"2.82"	"7.00"
"11623327"	"26.59"	"118.02"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11623347"	"24.19"	"104.91"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11623508"	"29.82"	"122.89"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11623526"	"25.93"	"110.40"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11624450"	"18.37"	"120.98"	"1.25"	"7.90"	"35.30"	"24.80"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11624453"	"14.68"	"110.34"	"1.15"	"7.90"	"32.20"	"19.10"	"0.23"	"31.00"	"6.90"	"3.00"	"5.00"
"11624454"	"32.29"	"114.96"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11624468"	"13.70"	"106.17"	"1.38"	"8.20"	"33.00"	"21.70"	"0.21"	"28.50"	"34.20"	"3.00"	"5.00"
"11624468"	"15.05"	"115.17"	"1.38"	"8.20"	"33.00"	"21.70"	"0.21"	"28.50"	"34.20"	"3.00"	"5.00"
"11624468"	"15.17"	"110.08"	"1.38"	"8.20"	"33.00"	"21.70"	"0.21"	"28.50"	"34.20"	"3.00"	"5.00"
"11624468"	"15.99"	"106.40"	"1.38"	"8.20"	"33.00"	"21.70"	"0.21"	"28.50"	"34.20"	"3.00"	"5.00"
"11624468"	"16.79"	"151.24"	"1.38"	"8.20"	"33.00"	"21.70"	"0.21"	"28.50"	"34.20"	"3.00"	"5.00"
"11624549"	"31.16"	"98.96"	"1.25"	"7.90"	"34.40"	"22.70"	"0.22"	"30.00"	"8.00"	"2.82"	"7.00"
"11624676"	"12.83"	"98.82"	"1.25"	"7.90"	"35.30"	"24.80"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11624676"	"16.25"	"122.04"	"1.25"	"7.90"	"35.30"	"24.80"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11624702"	"0.12"	"125.69"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11624702"	"0.12"	"129.98"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11624702"	"0.27"	"106.51"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11624712"	"45.75"	"105.62"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11624715"	"26.58"	"121.68"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11624742"	"49.51"	"99.55"	"1.15"	"7.90"	"35.80"	"25.40"	"0.22"	"36.00"	"10.00"	"0.92"	"9.00"
"11624852"	"42.15"	"103.85"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11624852"	"54.51"	"118.50"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11625189"	"53.53"	"104.72"	"1.45"	"7.90"	"36.30"	"26.40"	"0.21"	"31.00"	"35.40"	"3.00"	"6.00"
"11625189"	"53.70"	"99.89"	"1.45"	"7.90"	"36.30"	"26.40"	"0.21"	"31.00"	"35.40"	"3.00"	"6.00"
"11625189"	"68.26"	"130.92"	"1.45"	"7.90"	"36.30"	"26.40"	"0.21"	"31.00"	"35.40"	"3.00"	"6.00"
"11625208"	"67.53"	"105.63"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11625212"	"29.98"	"99.94"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625212"	"39.13"	"122.11"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625216"	"44.83"	"109.99"	"1.45"	"7.90"	"36.30"	"26.40"	"0.21"	"31.00"	"35.40"	"3.00"	"6.00"
"11625337"	"67.17"	"104.49"	"1.35"	"7.90"	"36.80"	"27.40"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11625338"	"28.08"	"99.95"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625338"	"36.36"	"123.11"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625343"	"33.99"	"111.89"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11625512"	"14.63"	"102.28"	"1.25"	"7.90"	"35.00"	"24.60"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11625512"	"19.72"	"122.57"	"1.25"	"7.90"	"35.00"	"24.60"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11625551"	"23.56"	"101.96"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625551"	"32.01"	"123.34"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625554"	"36.15"	"109.50"	"1.45"	"7.90"	"36.30"	"26.40"	"0.21"	"31.00"	"35.40"	"3.00"	"6.00"
"11625617"	"12.74"	"103.38"	"1.38"	"7.90"	"35.90"	"27.00"	"0.18"	"39.00"	"19.50"	"0.70"	"5.50"
"11625617"	"16.87"	"123.45"	"1.38"	"7.90"	"35.90"	"27.00"	"0.18"	"39.00"	"19.50"	"0.70"	"5.50"
"11625644"	"38.72"	"112.23"	"1.30"	"7.90"	"33.80"	"23.30"	"0.20"	"31.00"	"35.40"	"3.00"	"6.50"
"11625644"	"41.63"	"104.69"	"1.30"	"7.90"	"33.80"	"23.30"	"0.20"	"31.00"	"35.40"	"3.00"	"6.50"
"11625707"	"11.44"	"119.08"	"1.25"	"8.20"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625707"	"11.73"	"106.88"	"1.25"	"8.20"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625707"	"12.96"	"102.88"	"1.25"	"8.20"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625707"	"13.20"	"111.61"	"1.25"	"8.20"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625707"	"14.45"	"147.53"	"1.25"	"8.20"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11625820"	"13.91"	"101.59"	"1.25"	"7.90"	"35.30"	"24.80"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11625820"	"18.63"	"120.74"	"1.25"	"7.90"	"35.30"	"24.80"	"0.20"	"37.50"	"7.60"	"0.70"	"6.00"
"11625846"	"0.15"	"129.89"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11625846"	"0.17"	"123.45"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11625846"	"0.17"	"127.40"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11625846"	"0.19"	"100.81"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11625846"	"0.27"	"106.26"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11625856"	"49.17"	"103.10"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11625859"	"24.24"	"100.02"	"1.25"	"7.90"	"34.80"	"23.30"	"0.20"	"32.50"	"19.70"	"3.00"	"6.50"
"11625859"	"33.07"	"118.38"	"1.25"	"7.90"	"34.80"	"23.30"	"0.20"	"32.50"	"19.70"	"3.00"	"6.50"
"11625885"	"52.25"	"98.53"	"1.15"	"7.90"	"35.80"	"25.40"	"0.22"	"36.00"	"10.00"	"0.92"	"9.00"
"11626044"	"61.65"	"112.12"	"1.28"	"7.90"	"36.10"	"26.00"	"0.22"	"31.00"	"6.90"	"3.00"	"9.00"
"11626068"	"34.99"	"117.28"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11626099"	"67.83"	"102.61"	"1.15"	"7.90"	"35.80"	"25.40"	"0.22"	"36.00"	"10.00"	"0.92"	"9.00"
"11626284"	"0.16"	"124.70"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11626284"	"0.34"	"105.43"	"1.48"	"6.50"	"29.70"	"16.30"	"0.21"	"22.00"	"41.10"	"9.00"	"3.00"
"11626302"	"62.60"	"126.53"	"1.30"	"7.90"	"34.80"	"24.00"	"0.20"	"31.00"	"35.40"	"3.00"	"6.50"
"11626312"	"38.26"	"113.17"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11626330"	"36.29"	"100.30"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11626535"	"33.94"	"116.85"	"1.25"	"7.90"	"34.90"	"23.50"	"0.20"	"32.50"	"34.70"	"3.00"	"6.00"
"11632516"	"10.44"	"98.66"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"6.70"	"3.00"	"6.50"
"11632516"	"14.20"	"117.10"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"6.70"	"3.00"	"6.50"
"11632520"	"0.09"	"102.57"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632520"	"0.11"	"99.88"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632520"	"0.13"	"102.55"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632520"	"0.14"	"98.49"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632520"	"0.20"	"101.29"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.09"	"99.74"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.12"	"99.18"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.12"	"111.62"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.13"	"98.73"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.17"	"106.48"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632523"	"0.19"	"97.85"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632526"	"0.09"	"98.23"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632526"	"0.10"	"98.41"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632526"	"0.12"	"99.35"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632526"	"0.13"	"110.26"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632529"	"0.09"	"99.11"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632529"	"0.16"	"109.12"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632529"	"0.18"	"101.67"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632532"	"0.06"	"98.03"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632532"	"0.11"	"101.53"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632532"	"0.11"	"109.49"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11632641"	"11.56"	"99.78"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11632641"	"16.86"	"120.37"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11632649"	"4.86"	"113.93"	"1.28"	"7.90"	"35.60"	"24.90"	"0.22"	"37.00"	"7.60"	"0.70"	"5.50"
"11632756"	"13.14"	"107.90"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"6.70"	"3.00"	"6.50"
"11632803"	"4.01"	"135.30"	"1.40"	"7.90"	"31.70"	"18.90"	"0.21"	"28.50"	"34.20"	"3.00"	"2.20"
"11632806"	"3.66"	"104.88"	"1.78"	"7.90"	"26.60"	"23.80"	"0.21"	"28.50"	"34.20"	"3.00"	"2.20"
"11632806"	"3.74"	"101.14"	"1.78"	"7.90"	"26.60"	"23.80"	"0.21"	"28.50"	"34.20"	"3.00"	"2.20"
"11632806"	"4.17"	"100.62"	"1.78"	"7.90"	"26.60"	"23.80"	"0.21"	"28.50"	"34.20"	"3.00"	"2.20"
"11632806"	"4.90"	"145.76"	"1.78"	"7.90"	"26.60"	"23.80"	"0.21"	"28.50"	"34.20"	"3.00"	"2.20"
"11632807"	"3.85"	"111.41"	"1.40"	"7.90"	"32.20"	"19.90"	"0.21"	"28.50"	"34.20"	"3.00"	"3.00"
"11632807"	"5.25"	"156.13"	"1.40"	"7.90"	"32.20"	"19.90"	"0.21"	"28.50"	"34.20"	"3.00"	"3.00"
"11632842"	"16.43"	"97.83"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"30.00"	"15.00"	"3.00"	"6.00"
"11632842"	"20.88"	"124.33"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"30.00"	"15.00"	"3.00"	"6.00"
"11632921"	"18.70"	"120.22"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"30.00"	"15.00"	"3.00"	"6.00"
"11632938"	"30.65"	"107.67"	"1.45"	"7.90"	"34.20"	"22.30"	"0.21"	"25.00"	"35.40"	"3.00"	"6.00"
"11632994"	"35.79"	"109.84"	"1.15"	"7.90"	"35.80"	"25.40"	"0.22"	"36.00"	"10.00"	"0.92"	"9.00"
"11633049"	"35.48"	"111.18"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"30.00"	"15.00"	"3.00"	"6.00"
"11633166"	"28.35"	"103.06"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.70"	"3.00"	"6.00"
"11633176"	"32.47"	"107.67"	"1.25"	"7.90"	"33.80"	"21.60"	"0.20"	"30.00"	"15.00"	"3.00"	"6.00"
"11633231"	"24.55"	"98.54"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"7.30"	"3.00"	"6.50"
"11633625"	"13.72"	"117.16"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"6.70"	"3.00"	"6.50"
"11633694"	"13.30"	"99.16"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11633694"	"16.49"	"122.50"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11633745"	"18.61"	"115.82"	"1.25"	"7.90"	"34.60"	"23.10"	"0.21"	"32.00"	"6.70"	"3.00"	"6.50"
"11633746"	"5.68"	"128.12"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633747"	"3.47"	"103.51"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633747"	"4.69"	"105.41"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633747"	"4.76"	"105.33"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633747"	"4.79"	"103.81"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633747"	"5.83"	"148.55"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633748"	"3.50"	"109.10"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633748"	"4.65"	"110.01"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633748"	"4.87"	"108.45"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633748"	"5.09"	"108.11"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633748"	"6.20"	"154.91"	"1.45"	"7.90"	"32.70"	"20.70"	"0.18"	"29.50"	"33.60"	"3.00"	"2.70"
"11633751"	"4.56"	"113.94"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11633751"	"5.49"	"112.08"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11633751"	"5.54"	"113.25"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11633751"	"7.49"	"155.84"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11633807"	"21.22"	"118.50"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11633880"	"0.03"	"99.02"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633880"	"0.04"	"99.20"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633880"	"0.04"	"100.21"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633880"	"0.05"	"102.51"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633883"	"0.03"	"98.31"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633883"	"0.04"	"98.43"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633883"	"0.04"	"99.49"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633883"	"0.04"	"101.56"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633886"	"0.04"	"98.16"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11633928"	"2.13"	"104.28"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633928"	"2.46"	"101.18"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633928"	"3.06"	"99.88"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633928"	"3.08"	"146.42"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633929"	"1.67"	"103.38"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633929"	"2.50"	"108.52"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633929"	"2.81"	"105.66"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633929"	"3.42"	"104.17"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633929"	"3.49"	"153.89"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633930"	"2.36"	"107.76"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633930"	"3.02"	"156.93"	"1.45"	"7.90"	"32.00"	"19.50"	"0.18"	"29.50"	"33.60"	"3.00"	"1.70"
"11633953"	"0.65"	"126.03"	"1.38"	"7.90"	"34.40"	"29.30"	"0.12"	"50.00"	"5.30"	"0.04"	"2.20"
"11633982"	"22.28"	"111.65"	"1.28"	"7.90"	"34.20"	"22.40"	"0.22"	"30.50"	"6.90"	"3.00"	"6.00"
"11634035"	"0.03"	"99.86"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634035"	"0.04"	"100.06"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634035"	"0.04"	"100.99"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634035"	"0.05"	"103.64"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634043"	"0.03"	"99.05"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634043"	"0.03"	"100.23"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634043"	"0.04"	"99.30"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634043"	"0.04"	"102.59"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634046"	"0.04"	"97.85"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634046"	"0.04"	"98.98"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
"11634060"	"6.28"	"108.75"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634060"	"6.72"	"112.71"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634060"	"6.92"	"109.89"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634060"	"7.00"	"109.25"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634060"	"10.59"	"148.10"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634062"	"5.97"	"120.68"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634062"	"6.23"	"123.43"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634062"	"6.32"	"121.50"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634062"	"6.60"	"120.55"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634062"	"9.95"	"164.54"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634063"	"3.91"	"122.06"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634063"	"4.01"	"119.68"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634063"	"4.06"	"120.48"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634063"	"4.29"	"119.35"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634063"	"6.46"	"163.39"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634120"	"4.35"	"122.67"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634120"	"4.51"	"121.00"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634120"	"4.77"	"119.74"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634120"	"7.19"	"164.00"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634122"	"3.91"	"122.06"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634122"	"4.01"	"119.68"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634122"	"4.06"	"120.48"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634122"	"4.29"	"119.35"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634122"	"6.46"	"163.39"	"1.45"	"7.90"	"33.20"	"21.70"	"0.18"	"29.50"	"33.60"	"3.00"	"3.50"
"11634180"	"0.05"	"97.97"	"1.42"	"7.70"	"28.90"	"13.90"	"0.23"	"21.00"	"7.00"	"9.00"	"1.50"
